Nb matchs,Temps moyen de jeu en minutes,Points moyens marques,Nb tirs reussis,Nb tirs essais,Nb 3 points reussis,Nb 3 points essais,Nb lances francs reussis,Nb lances francs essais,Nb rebonds offensifs,Nb rebonds defensifs,Nb passes decisives,Nb interceptions,Nb contres ,Nb pertes balle,Carriere superieure 5ans
80.0,22.6,10.2,3.5,7.5,0.0,0.0,3.3,4.2,2.4,3.4,1.0,0.6,0.4,2.0,1.0
36.0,8.3,3.3,1.6,3.3,0.0,0.0,0.2,0.3,0.6,1.0,0.2,0.2,0.4,0.5,0.0
48.0,8.2,2.2,0.9,2.5,0.0,0.5,0.1,0.2,0.2,0.9,1.3,0.2,0.0,0.7,0.0
36.0,27.5,7.4,2.6,7.6,0.6,2.0,1.6,2.4,0.8,3.4,1.9,0.4,0.3,1.5,0.0
82.0,37.5,22.9,9.0,19.6,0.3,1.3,4.7,6.8,2.2,2.5,5.0,2.6,1.0,4.3,1.0
76.0,29.4,10.7,4.0,7.7,0.1,0.1,2.6,3.1,2.2,3.6,1.7,0.7,0.5,1.4,1.0
82.0,31.6,11.4,5.2,11.4,0.3,1.1,0.7,1.3,0.6,2.0,6.8,1.4,0.3,1.7,1.0
82.0,32.6,12.0,4.2,8.5,0.1,0.0,3.4,5.0,3.4,6.5,1.0,1.1,1.8,2.0,1.0
75.0,24.0,8.0,3.3,7.6,0.9,2.9,0.5,1.0,0.4,2.8,0.9,0.3,0.4,0.8,1.0
78.0,27.0,10.9,4.1,9.5,0.5,1.8,1.9,2.6,1.4,3.5,1.3,0.8,0.9,1.7,1.0
66.0,11.3,2.8,1.1,2.8,0.1,0.8,0.5,0.6,0.3,1.0,0.5,0.2,0.0,0.1,1.0
72.0,29.0,12.6,4.7,12.2,1.0,3.4,2.1,3.0,1.8,3.7,1.6,0.4,1.2,1.6,1.0
59.0,20.0,7.7,3.0,6.6,0.0,0.0,1.7,2.2,1.7,2.9,0.3,0.5,1.0,1.4,1.0
72.0,16.8,6.3,2.5,5.7,0.0,0.1,1.2,1.6,1.0,1.6,1.8,0.9,0.1,1.0,0.0
79.0,20.5,8.7,3.7,7.9,0.5,1.7,0.9,1.5,0.8,1.8,3.0,0.9,0.0,1.4,1.0
79.0,15.7,7.8,2.5,5.3,0.1,0.2,2.7,3.4,0.1,1.2,4.4,1.0,0.0,2.1,1.0
55.0,15.0,5.8,2.3,5.1,0.0,0.0,0.8,0.9,1.5,2.7,0.7,0.7,0.4,1.0,1.0
78.0,27.7,8.5,3.5,7.4,0.5,1.7,0.9,1.3,1.3,5.0,1.4,1.0,1.2,0.6,1.0
65.0,16.4,5.9,2.2,5.0,0.4,0.8,0.9,1.5,0.7,2.1,0.9,0.4,0.1,1.0,1.0
71.0,16.8,5.5,2.4,5.5,0.0,0.0,0.5,0.9,1.2,1.3,1.1,0.6,0.5,0.2,1.0
62.0,13.2,4.2,1.6,3.1,0.0,0.0,0.9,1.2,1.1,2.4,0.3,0.2,0.1,1.1,1.0
51.0,14.4,5.1,1.4,3.7,0.2,0.7,1.8,2.0,0.5,1.3,2.9,0.8,0.0,1.5,0.0
70.0,14.3,7.1,2.8,5.8,0.1,0.0,1.6,2.0,1.6,2.0,0.7,0.4,1.1,0.8,1.0
48.0,9.3,1.9,0.8,2.6,0.0,0.0,0.5,0.8,0.6,1.3,0.1,0.2,0.5,0.4,0.0
82.0,21.4,6.8,2.7,5.0,0.1,0.1,1.5,3.2,2.0,3.7,0.8,0.7,0.7,1.3,0.0
47.0,14.3,5.8,2.3,5.2,0.0,0.3,0.8,1.8,0.2,1.2,2.9,0.5,0.2,1.5,0.0
59.0,13.0,5.2,2.0,4.4,0.0,0.1,1.2,1.8,0.6,1.2,1.5,0.1,0.2,1.2,0.0
64.0,17.0,7.1,3.0,7.5,0.0,0.2,1.1,1.7,0.6,1.5,3.3,1.0,0.0,1.6,1.0
72.0,21.9,9.6,4.0,9.0,0.0,0.4,1.5,2.2,1.2,3.4,1.0,0.4,0.3,1.5,1.0
64.0,11.9,5.4,1.9,5.4,0.6,0.7,1.1,1.3,0.5,0.6,1.1,0.3,0.2,1.0,1.0
82.0,21.2,9.1,3.7,8.0,0.0,0.3,1.2,1.7,1.5,2.2,1.8,0.7,0.5,0.9,0.0
64.0,28.8,13.3,5.6,10.9,0.1,0.2,2.5,3.7,2.5,5.5,0.9,1.1,1.5,1.3,1.0
58.0,11.7,4.8,1.7,5.0,0.3,1.5,0.9,1.3,0.6,0.8,1.2,0.5,0.4,1.0,1.0
43.0,12.9,4.7,2.1,4.8,0.0,0.6,0.3,0.5,0.2,1.1,1.8,0.2,0.1,0.8,0.0
77.0,30.0,13.7,6.1,13.9,0.2,0.8,1.2,1.4,1.2,3.3,1.9,1.0,0.3,1.7,1.0
41.0,5.8,2.7,1.3,2.7,0.0,0.0,0.5,0.8,0.7,0.9,0.3,0.1,0.2,0.6,1.0
80.0,22.6,9.2,3.6,8.4,0.9,2.1,1.5,1.7,1.3,1.6,1.3,1.0,0.2,1.0,1.0
81.0,18.0,5.5,2.0,5.2,0.5,1.8,1.2,1.4,1.0,2.4,0.8,0.7,0.4,1.4,1.0
65.0,18.4,7.3,2.8,5.8,0.0,0.2,1.5,2.6,1.9,2.7,1.0,0.7,0.5,1.2,0.0
66.0,10.5,4.9,2.2,4.4,0.0,0.4,0.8,0.8,0.7,0.9,0.8,0.3,0.0,0.8,0.0
23.0,19.3,4.1,1.5,5.5,0.6,2.2,0.3,0.3,0.7,2.0,0.9,0.5,0.1,0.6,0.0
49.0,5.3,2.1,0.7,1.9,0.0,0.0,0.6,1.1,0.5,0.7,0.1,0.1,0.3,0.8,0.0
40.0,11.6,6.6,2.9,5.4,0.0,0.1,1.1,1.2,0.6,0.5,1.4,0.5,0.2,0.7,0.0
82.0,27.9,11.6,5.1,10.5,0.0,0.1,1.6,2.4,1.9,5.4,1.6,0.7,2.4,1.8,1.0
36.0,14.3,5.9,2.4,5.4,0.0,0.2,1.2,1.2,1.1,1.5,0.8,0.4,0.0,0.8,1.0
43.0,9.6,3.5,1.3,2.8,0.3,0.2,0.8,0.8,0.9,1.1,0.3,0.3,0.3,0.6,0.0
82.0,36.5,21.2,7.5,18.1,0.8,2.4,5.0,6.4,2.1,3.7,2.7,1.2,0.6,3.1,1.0
76.0,32.0,17.5,7.5,13.5,0.1,0.0,2.3,4.6,4.1,5.0,3.6,1.2,2.1,2.8,1.0
73.0,35.6,15.1,5.9,13.8,0.0,0.0,3.0,4.6,3.8,7.0,1.1,0.7,1.7,1.7,1.0
74.0,17.2,7.0,2.7,6.0,0.2,0.4,1.1,1.6,0.7,0.8,1.7,0.5,0.1,1.2,0.0
63.0,15.1,5.9,2.4,4.7,0.0,0.0,0.9,1.2,0.7,1.3,0.9,0.5,0.2,0.6,1.0
42.0,10.8,3.3,1.4,3.5,0.1,0.1,0.6,0.7,0.3,0.5,1.0,0.6,0.0,0.7,0.0
57.0,12.3,5.0,2.1,5.0,0.6,1.9,0.2,0.4,0.1,1.3,2.0,0.6,0.2,0.6,0.0
38.0,4.7,1.9,0.9,1.8,0.0,0.1,0.5,0.6,0.2,0.4,0.7,0.0,0.0,0.5,1.0
82.0,19.8,9.4,3.7,9.0,0.6,2.1,1.3,1.6,0.3,1.4,3.7,0.4,0.1,1.7,1.0
59.0,22.4,8.1,2.6,6.2,0.7,2.4,2.0,2.3,0.7,3.0,1.7,0.6,0.8,0.8,0.0
73.0,19.0,5.8,2.3,4.8,0.0,0.7,1.2,1.7,1.8,2.3,1.0,1.1,0.1,0.7,1.0
39.0,5.8,1.4,0.6,0.9,0.0,0.0,0.5,0.5,0.4,0.6,0.2,0.0,0.1,0.1,1.0
61.0,14.3,5.4,2.1,4.5,1.0,1.8,0.9,0.9,0.6,1.0,1.7,0.7,0.1,1.1,1.0
81.0,17.0,6.0,2.3,5.6,0.2,1.0,1.2,1.6,0.3,1.4,2.3,1.1,0.1,1.5,1.0
53.0,29.9,17.6,7.6,14.8,0.0,0.0,2.6,3.8,2.2,4.8,1.1,0.3,1.1,2.2,0.0
39.0,11.2,4.0,1.6,3.8,0.1,0.3,0.7,1.2,0.4,0.9,0.2,0.4,0.5,0.6,0.0
82.0,36.2,17.4,6.9,16.6,0.6,2.0,2.8,4.4,3.6,5.5,3.2,1.4,0.7,2.7,1.0
59.0,28.3,16.9,6.0,13.6,1.1,3.2,3.8,5.0,1.9,2.3,3.0,1.0,0.3,3.0,1.0
52.0,12.4,2.8,1.1,1.9,0.1,0.0,0.7,1.2,1.9,2.0,0.3,0.3,0.0,0.4,0.0
78.0,20.0,8.5,2.9,5.7,0.0,0.1,2.3,3.6,1.6,3.3,1.6,0.7,0.7,1.9,1.0
60.0,8.9,2.9,0.9,2.3,0.0,0.1,0.9,1.5,0.3,0.9,1.7,0.5,0.1,0.7,1.0
71.0,19.8,7.0,3.0,6.8,0.1,0.4,1.1,1.3,0.4,1.9,3.2,0.9,0.1,1.2,0.0
66.0,17.1,6.9,2.5,5.8,0.6,1.2,1.3,1.5,0.4,1.8,3.0,0.9,0.1,1.4,1.0
71.0,13.0,4.7,2.3,4.4,0.2,0.3,0.6,0.9,0.8,2.3,0.6,0.2,0.6,0.8,1.0
44.0,9.3,2.7,1.1,3.4,0.2,0.9,0.3,0.4,0.4,0.8,0.9,0.4,0.1,0.9,1.0
42.0,8.2,3.5,1.4,3.0,0.0,0.0,0.7,1.2,0.4,1.1,0.3,0.1,0.1,0.2,0.0
68.0,11.1,2.7,1.0,2.7,0.2,0.4,0.7,1.0,0.3,0.8,1.9,0.2,0.0,1.6,0.0
65.0,11.6,3.8,1.6,3.3,0.2,0.7,0.9,1.0,0.8,1.7,0.8,0.3,0.6,0.9,1.0
77.0,14.2,4.8,1.8,3.4,0.0,0.0,1.2,1.8,0.8,1.5,0.7,0.4,0.3,1.0,1.0
77.0,21.7,8.5,3.4,6.5,0.1,0.4,2.0,2.5,1.1,1.9,0.7,0.6,0.3,0.8,1.0
38.0,9.7,3.8,1.6,2.9,0.0,0.1,0.8,1.1,0.9,1.6,0.1,0.1,0.5,0.2,1.0
51.0,7.4,2.7,1.2,2.9,0.2,0.0,0.4,0.7,0.5,0.9,0.4,0.2,0.1,0.4,1.0
45.0,32.4,11.9,4.5,11.4,1.4,3.9,1.3,1.6,0.8,3.4,3.1,1.2,0.3,1.4,0.0
62.0,17.8,7.0,2.9,7.1,0.3,0.9,0.7,1.1,1.9,3.5,0.9,0.4,0.5,0.9,0.0
72.0,29.1,13.4,4.9,10.5,0.1,0.0,3.3,5.4,2.7,4.8,1.4,0.4,1.1,2.0,1.0
71.0,15.5,7.4,2.3,5.9,0.8,1.8,2.0,2.4,0.7,1.1,1.4,0.7,0.3,1.7,1.0
76.0,30.4,10.7,4.5,11.6,0.2,0.4,1.9,2.3,1.1,1.9,2.1,2.1,0.2,2.1,1.0
82.0,21.7,10.4,4.3,8.6,0.0,0.0,2.0,2.3,2.1,2.2,1.6,0.7,0.4,1.5,1.0
40.0,11.0,4.0,1.4,3.2,0.4,0.9,1.0,1.3,0.8,1.1,0.6,0.2,0.5,0.4,0.0
45.0,22.0,7.9,3.6,7.2,0.1,0.4,1.3,1.7,0.5,1.8,3.5,0.8,0.0,1.7,1.0
80.0,16.9,7.2,3.0,5.7,0.0,0.0,1.3,2.0,1.3,2.8,0.2,0.5,0.9,1.1,1.0
42.0,8.0,2.9,1.0,3.1,0.2,0.6,0.7,1.2,0.4,0.5,0.3,0.5,0.1,0.4,0.0
71.0,17.1,4.9,2.2,4.1,0.1,0.0,0.6,0.9,1.5,2.2,0.7,0.6,0.3,0.6,1.0
51.0,15.1,5.8,2.2,5.1,0.3,0.7,1.2,1.6,0.3,1.4,2.3,0.6,0.0,1.4,0.0
72.0,16.1,6.7,2.5,5.1,0.0,0.0,1.5,2.2,1.3,2.3,0.4,0.2,0.7,1.1,1.0
53.0,8.4,3.1,1.1,2.2,0.1,0.0,0.7,1.1,0.5,1.4,0.2,0.2,0.2,0.5,0.0
65.0,9.5,5.0,2.1,4.4,0.1,0.3,0.6,1.0,0.8,1.0,1.1,0.1,0.0,0.8,0.0
79.0,24.9,5.7,2.1,5.2,0.1,0.1,1.5,1.8,2.3,3.8,1.3,0.8,1.3,0.9,1.0
31.0,4.4,1.2,0.5,1.2,0.0,0.2,0.2,0.6,0.4,0.7,0.2,0.0,0.0,0.3,1.0
44.0,13.3,4.9,1.7,3.9,0.0,0.2,1.2,1.4,0.2,0.9,1.0,0.2,0.3,0.7,1.0
67.0,34.6,15.9,5.4,13.0,1.6,4.2,3.5,4.9,1.0,1.9,8.0,1.1,0.3,3.0,1.0
36.0,7.0,1.6,0.9,1.5,0.0,0.0,0.3,0.4,0.6,1.1,0.2,0.0,0.1,0.3,1.0
33.0,22.8,5.1,2.1,4.6,0.9,2.7,0.7,0.9,0.6,2.2,1.0,0.6,0.4,0.7,0.0
40.0,11.4,1.8,0.8,2.5,0.0,0.0,0.3,0.2,0.3,0.7,1.3,0.6,0.1,0.8,0.0
76.0,22.3,12.0,5.1,10.8,0.0,0.1,1.7,2.1,1.3,2.5,2.0,0.8,0.6,2.4,1.0
82.0,22.9,10.1,3.8,8.6,0.9,2.4,1.8,2.3,0.7,2.3,2.8,0.8,0.2,1.9,1.0
76.0,27.6,14.0,5.4,11.9,0.7,2.2,2.4,3.3,2.4,2.8,1.7,1.3,0.9,2.3,1.0
81.0,26.4,9.4,3.9,7.7,0.0,0.3,1.6,2.9,1.6,4.3,1.0,0.7,1.6,1.8,1.0
63.0,30.1,15.0,6.0,12.2,0.0,0.3,2.8,4.2,2.0,4.2,1.5,1.1,2.2,2.1,1.0
74.0,12.1,3.9,1.6,3.9,0.4,0.7,0.7,0.8,0.4,0.8,0.7,0.1,0.2,0.7,0.0
82.0,32.8,21.0,8.6,16.8,0.0,0.2,3.3,5.3,3.6,7.4,2.1,0.8,2.5,3.6,1.0
70.0,12.6,4.7,1.7,4.2,0.0,0.4,1.2,1.6,0.3,1.0,0.8,0.9,0.2,1.0,1.0
39.0,8.9,1.8,0.6,2.4,0.4,1.4,0.3,0.6,0.1,0.6,1.3,0.8,0.0,0.4,0.0
68.0,19.7,6.7,2.5,6.2,0.4,1.1,1.5,2.0,0.2,1.4,3.4,0.3,0.0,1.7,1.0
82.0,19.0,9.0,3.5,9.1,0.0,0.4,1.7,3.1,1.2,2.4,1.1,0.7,0.7,1.7,1.0
21.0,7.3,3.9,1.0,3.1,0.8,1.8,0.7,0.6,0.1,0.4,1.1,0.1,0.0,0.5,0.0
29.0,16.5,3.7,1.3,4.2,0.6,2.1,0.3,0.6,0.3,1.1,1.3,0.7,0.1,0.9,1.0
78.0,22.4,8.5,3.4,8.4,0.3,1.3,1.4,1.9,0.6,3.9,3.1,0.5,0.0,1.6,0.0
35.0,4.2,3.0,1.0,2.8,0.0,0.2,1.0,1.4,0.1,0.1,0.5,0.0,0.2,0.4,0.0
54.0,10.4,3.8,1.4,3.2,0.0,0.2,0.7,0.8,0.8,1.5,0.6,0.2,0.1,0.8,0.0
46.0,9.3,3.3,1.5,2.6,0.0,0.1,0.3,0.7,0.4,1.0,0.8,0.3,0.1,0.8,0.0
71.0,30.5,16.3,6.1,12.4,0.1,0.0,3.9,5.5,2.6,3.9,1.6,1.0,1.2,2.2,1.0
47.0,12.2,3.4,1.3,3.6,0.4,0.7,0.3,0.7,0.3,0.7,0.7,0.3,0.0,0.8,0.0
37.0,14.6,4.5,1.7,3.9,0.3,1.6,0.6,0.8,1.3,2.5,0.4,0.7,0.5,0.5,0.0
78.0,20.5,8.1,3.1,7.2,0.0,0.0,1.8,2.7,1.3,3.0,1.3,0.7,0.2,1.4,1.0
64.0,17.8,4.6,1.7,3.8,0.1,0.1,0.9,1.8,1.8,3.4,0.9,1.0,1.0,1.2,1.0
60.0,8.7,3.9,1.6,3.5,0.1,0.0,0.7,1.0,0.8,0.8,0.7,0.1,0.3,0.6,1.0
68.0,11.6,2.7,0.9,2.6,0.3,0.7,0.5,0.8,0.7,1.2,1.1,0.4,0.0,0.6,0.0
68.0,14.8,6.4,2.4,5.5,0.0,0.4,1.8,2.2,0.9,2.5,1.3,0.1,0.2,1.1,1.0
51.0,10.5,3.8,1.7,3.9,0.0,0.0,0.6,0.6,0.9,0.6,0.6,0.2,0.2,0.6,0.0
68.0,13.0,3.5,1.7,2.7,0.0,0.1,0.6,1.2,1.0,2.3,0.2,0.4,0.3,0.6,0.0
72.0,24.9,8.3,2.8,7.3,0.5,1.7,2.0,2.8,2.0,4.1,1.7,0.9,0.2,1.8,1.0
66.0,21.6,7.1,2.9,5.2,0.1,0.0,1.3,2.0,1.9,3.4,0.5,0.5,0.9,0.7,0.0
71.0,27.8,5.2,2.0,4.1,0.1,0.3,1.4,1.8,1.5,3.2,8.2,1.7,0.6,2.4,1.0
45.0,7.9,3.6,1.3,2.7,0.0,0.0,0.8,2.0,1.0,1.0,0.3,0.4,0.1,0.4,0.0
33.0,4.6,1.1,0.6,1.2,0.0,0.0,0.2,0.1,0.3,0.6,0.2,0.3,0.1,0.0,0.0
81.0,19.1,9.4,3.4,7.7,0.2,0.3,2.6,3.1,1.5,1.7,1.1,0.6,0.1,1.8,0.0
79.0,23.6,6.4,2.5,6.5,0.0,0.3,1.1,1.6,0.6,2.1,4.9,1.2,0.1,2.1,1.0
62.0,13.9,4.5,1.9,4.0,0.4,0.4,0.8,1.2,0.7,1.2,1.6,0.2,0.2,1.0,0.0
76.0,22.7,10.0,3.1,7.7,1.2,3.2,2.5,3.2,0.7,2.7,1.8,1.1,0.3,1.5,1.0
66.0,14.2,4.4,1.4,3.1,0.0,0.0,1.5,2.0,1.1,2.0,0.9,0.6,0.4,0.7,1.0
39.0,6.8,2.4,0.9,2.0,0.4,0.6,0.2,0.6,0.9,1.0,0.6,0.6,0.5,0.3,1.0
78.0,22.5,7.5,2.8,6.0,0.4,1.2,1.7,1.9,1.8,3.1,1.5,0.8,0.9,0.9,1.0
79.0,31.3,10.8,4.4,9.4,0.0,0.3,1.8,2.7,2.4,3.9,3.1,1.1,0.2,2.0,1.0
82.0,27.1,9.0,3.9,7.5,0.1,0.0,1.5,1.9,2.8,4.9,1.0,0.7,1.3,1.4,1.0
80.0,37.1,21.8,8.0,17.7,0.9,3.4,4.8,6.4,2.2,4.3,2.5,1.4,0.2,4.0,0.0
82.0,28.6,15.5,6.2,14.5,1.6,4.0,2.0,2.6,0.7,2.1,1.7,0.8,0.3,1.5,1.0
62.0,16.3,7.0,2.6,6.7,0.4,1.0,1.5,1.9,0.9,1.3,1.3,0.5,0.2,1.2,0.0
60.0,8.2,3.1,1.4,2.7,0.0,0.0,0.3,0.6,0.8,1.7,0.4,0.3,0.2,0.5,1.0
80.0,20.0,8.5,3.2,5.6,0.0,0.2,2.1,3.3,1.3,2.7,1.0,0.9,0.4,2.0,1.0
57.0,14.3,4.5,1.6,4.2,0.1,0.0,1.1,1.7,0.9,2.6,0.8,0.3,0.6,0.8,1.0
55.0,12.1,3.0,1.3,2.6,0.1,0.1,0.5,0.9,1.0,2.1,0.4,0.4,0.5,0.6,0.0
72.0,33.8,16.9,6.2,14.7,0.1,0.8,4.1,5.9,0.8,2.0,7.8,2.0,0.2,4.1,1.0
82.0,38.5,18.8,6.6,15.6,2.4,6.1,3.3,3.9,0.4,2.6,6.6,0.9,0.3,3.1,1.0
82.0,18.6,6.1,2.2,5.2,0.2,1.5,1.3,1.9,0.5,1.4,3.6,1.3,0.2,1.8,1.0
45.0,9.9,2.7,1.0,2.7,0.0,0.7,0.5,1.3,0.5,0.5,0.4,0.4,0.2,0.5,1.0
48.0,19.2,5.7,2.4,5.0,0.2,0.5,0.8,1.3,1.2,2.6,1.2,0.8,0.4,0.7,1.0
65.0,9.7,5.1,2.2,4.3,0.1,0.4,0.7,0.9,0.5,1.1,1.3,0.2,0.1,0.8,1.0
35.0,26.9,7.2,1.8,6.7,0.7,2.8,2.6,3.4,0.4,2.1,3.5,1.3,0.6,1.6,0.0
82.0,17.8,5.7,2.2,5.2,0.0,0.1,1.4,2.0,1.0,2.6,0.8,0.3,0.2,0.8,1.0
55.0,14.7,6.1,2.3,4.3,0.2,0.9,1.3,1.8,0.2,1.5,1.1,0.5,0.1,1.1,0.0
32.0,19.4,6.7,3.1,6.5,0.2,0.5,0.5,0.8,0.4,1.2,3.7,1.0,0.1,1.7,0.0
79.0,24.7,10.6,4.7,9.2,0.0,0.0,1.4,1.9,1.9,4.0,0.6,0.4,0.9,1.4,1.0
76.0,27.4,15.2,6.4,13.4,0.0,0.4,2.7,3.7,1.3,2.3,3.8,1.0,0.0,2.8,1.0
70.0,20.5,8.7,3.6,8.2,0.1,0.5,1.6,2.2,1.0,1.0,2.6,0.5,0.2,1.4,0.0
52.0,10.1,4.3,1.8,4.0,0.0,0.2,0.7,1.2,0.8,1.9,0.5,0.6,0.3,0.7,1.0
57.0,8.4,2.9,1.1,3.1,0.1,0.0,0.7,1.0,0.8,1.2,0.4,0.2,0.6,0.5,1.0
82.0,24.3,5.0,2.1,5.8,0.1,0.3,0.8,1.3,0.6,2.4,3.5,1.1,0.3,1.7,0.0
60.0,8.9,2.8,0.8,2.1,0.0,0.2,0.9,1.1,0.3,1.0,1.7,0.6,0.0,0.7,1.0
43.0,6.7,1.6,0.9,1.9,0.0,0.3,0.1,0.4,0.2,0.4,1.6,0.5,0.0,0.5,1.0
46.0,9.9,2.7,1.1,2.2,0.1,0.1,0.7,0.8,1.3,1.6,0.0,0.4,0.8,0.6,0.0
76.0,16.3,6.0,1.8,4.9,0.4,1.0,1.7,2.3,0.0,1.1,2.3,0.5,0.2,1.3,1.0
78.0,20.1,8.6,2.9,5.6,0.0,0.0,2.4,3.6,1.7,3.4,1.7,0.6,0.7,1.9,0.0
37.0,13.7,8.1,2.9,7.1,0.6,1.5,1.2,1.9,0.7,1.3,1.0,0.4,0.0,1.0,1.0
80.0,30.1,12.0,4.4,11.1,1.2,3.6,2.0,2.9,0.9,2.3,5.6,1.3,0.2,2.3,1.0
53.0,14.4,6.8,2.6,6.7,0.4,1.2,1.1,1.6,0.4,1.0,1.1,0.5,0.4,1.1,1.0
51.0,22.5,8.8,3.5,8.9,0.1,0.2,1.7,2.8,1.7,1.9,1.1,0.8,0.2,1.0,0.0
77.0,25.1,7.3,3.1,6.6,0.0,0.0,0.9,2.0,2.7,3.4,0.6,0.8,0.7,1.0,1.0
77.0,17.8,8.5,2.9,6.0,0.0,0.2,2.6,3.5,1.7,2.2,0.8,0.4,0.4,1.8,1.0
33.0,5.5,1.3,0.5,1.3,0.0,0.1,0.1,0.7,0.7,0.6,0.3,0.1,0.0,0.1,0.0
74.0,15.5,5.5,1.9,5.1,0.0,0.0,1.5,2.1,1.2,2.3,0.3,0.3,0.7,1.0,0.0
79.0,25.5,9.6,3.6,8.6,0.3,1.4,1.7,2.2,1.6,3.3,1.5,0.7,0.6,1.0,1.0
49.0,9.2,2.0,0.7,2.0,0.2,0.7,0.8,0.7,0.1,0.6,1.8,0.5,0.1,0.5,0.0
14.0,3.1,1.1,0.3,1.6,0.1,0.8,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.2,0.0
74.0,17.0,4.2,1.7,4.1,0.0,0.1,0.7,0.9,0.4,1.6,2.9,1.0,0.3,1.2,0.0
43.0,17.9,6.2,2.5,4.4,0.1,0.2,1.3,2.0,1.0,2.1,0.3,0.3,1.2,1.1,0.0
60.0,10.3,3.1,1.1,2.4,0.0,0.0,0.8,1.1,1.0,1.3,0.2,0.2,0.7,0.4,1.0
73.0,10.9,3.8,1.6,3.6,0.0,0.4,0.8,1.0,0.2,0.9,1.1,0.4,0.0,0.6,0.0
46.0,15.3,4.6,1.9,4.4,0.0,0.0,1.0,1.6,1.4,2.5,0.9,0.4,0.5,1.4,0.0
81.0,24.3,12.1,5.0,11.4,0.2,0.9,1.9,1.9,0.7,1.1,1.8,0.4,0.2,1.4,1.0
77.0,36.0,18.0,6.6,14.5,1.6,3.9,3.5,4.6,2.1,3.3,6.5,1.4,0.3,4.0,1.0
81.0,24.6,11.3,4.8,10.2,0.2,0.3,1.8,2.2,1.2,1.7,3.7,1.6,0.5,2.2,1.0
43.0,12.3,2.7,1.2,3.0,0.0,0.0,0.3,0.6,0.9,1.5,0.3,0.2,0.6,0.4,0.0
33.0,7.8,3.8,1.6,3.1,0.0,0.4,0.8,1.0,0.5,0.6,0.4,0.4,0.0,0.4,1.0
62.0,19.3,8.0,3.2,5.9,0.0,0.2,1.7,1.9,1.3,2.6,1.4,0.5,1.4,1.7,1.0
81.0,21.0,7.4,2.7,6.7,0.8,2.4,1.3,1.9,0.8,3.2,1.2,0.3,0.5,0.8,0.0
49.0,9.1,1.9,0.5,1.9,0.2,0.5,0.5,0.8,0.4,0.6,1.7,0.6,0.2,0.6,1.0
16.0,4.4,1.2,0.5,1.0,0.2,0.2,0.1,0.4,0.1,0.3,0.1,0.2,0.0,0.3,1.0
49.0,29.6,9.9,3.4,8.3,1.2,3.0,1.9,2.3,0.5,1.9,2.3,0.8,0.3,1.5,1.0
55.0,12.5,4.8,1.7,3.6,0.0,0.1,1.3,1.9,1.3,1.8,0.3,0.2,0.5,0.8,0.0
44.0,9.4,2.8,1.1,3.4,0.3,0.8,0.3,0.5,0.3,0.7,1.3,0.2,0.0,1.1,0.0
55.0,9.5,4.4,2.0,4.4,0.2,0.6,0.5,0.8,0.8,0.5,0.6,0.3,0.0,0.5,0.0
